Column1	Column2
1987	ba năm ỏ ' mỹ : truyện_ký .
1987	 tan theo ngày nắng vội ; bia ngọc dũng ; phụ_bản nguyễn khai and others ' , phụ bán tho ’ nhạc , du tứ lê , trẩn duy đức . 
1987	thơ du tứ lê . [ tái_bản ] .
1987	mánh đẫt yêu_thương : tiếu thuyềt .
1987	 bâng_khuâng tơ trời . [ glendale , ca , dai nam co . 
1987	bẩy con_gái .
1987	bước khẽ nhé em .
1987	êm_ả một đời .
1987	không còn là ngày_xưa .
1987	một thuỏ 1 hẹn_hò .
1987	ngày_tháng trôi qua tình_yêu còn lại .
1987	niểm hạnh_phúc chợt thây .
1987	tinh yêu tình_yêu ơi .
1987	tóc mơ nghìn sợi .
1987	tóc xòa ngang lưng .
1987	 trong vô sô buổi chiểu . lancaster , pa , xuân_thu . 
1987	từ dạo biẽt buổn .
1987	từ_giã thơ_ngây .
1987	những giọt long_lanh .
1987	dễ ghét .
1987	lồi có mù_sương .
1987	ngày_xưa chân sáo .
1987	dưới lá_cờ vè vang của đáng
1987	 sách sô ; diễn cầm tạm thề diễn_nghĩa , [ shih san chin yen ] soạn giá dương công_hầu , hiệu khương đức . 
1987	mùa dưa ; tập truyện_ngắn và ký .
1987	 bên giông sông trẹm : xã_hội , tâm_lý , ái tinh , đồng_quê tiểu thuyẽt . 
1987	một chương bi thám .
1987	tìm_hiểu vể khoa_học bảo_vệ thực_vật .
1987	 việt nam : những sự_kiện lịch_sử , 1858 1945 . v . [ 1 ] 
1987	việt nam thi văn hợp_tuyển . 1st ed .
1987	hoa rừng .
1987	bác hổ với phong_trào phụ_nữ việt nam .
1987	mùa thu mùa trảng : thơ .
1987	quân với dân một ý_chí .
1987	câu_chuyện ao cá bác hổ .
1987	duy ma cật kinh
1987	cánh buổm mỏ ' hướng : trường_ca .
1987	tuyến truyện sáng_tạo .
1987	ánh lứa đêm tù : tập truyện .
1987	dzùng dakao : truyện_dài .
1987	đêm thánh vô_cùng .
1987	 hoa thiên_lý . [ los alamitos , ca , việt nam . 
1987	 hôn em , ký niệm : truyện . bản lẩn thứ 1 . 
1987	 thư tình trên cát : truyện_dài , của duyên anh_vũ mộng long . 
1987	đường chân_trời : tập truyện .
1987	đại đoản quân tiển phong : ký_sự
1987	đại_hội xxvi đảng cộng_sản liên xô
1987	đại nam nhẫt thỗng chí
1987	đại nam thực lục ; tổ phiên_dịch viện sử_học phiên_dịch .
1987	đại việt sử_ký toàn thư
1987	hoạt_động của từ tiềng việt
1987	đăm di đi săn
1987	ngừ
1987	quyển và nghiã vụ cơ bán của công_dân .
1987	việt văn độc_bản lớp đệ nhị . in lẩn thứ 4 .
1987	đảng cộng_sản việt nam
1987	ban nghiên_cứu lịch sứ đảng . năm_mươi năm hoạt_động của đảng cộng_sản việt nam .
1987	đảng cộng_sản việt nam
1987	đảng cộng_sản việt nam
1987	đảng cộng_sản việt nam
1987	điểu lệ đảng cộng sán việt nam ( do đại_hội biểu toàn quôc lẩn thứ iv thông_qua ) .
1987	đảng cộng_sản việt nam
1987	ban chầp hành trung_ương . một sô văn_kiện cùa trung_ương đảng vẽ phát trién công_nghiệp .
1987	bước_ngoặt : tiếu thuyềt .
1987	ban châp hành trung_ương . văn_kiện đảng vể công_tác thành vận : tử năm 1930 đẽn năm 1968 . in lẩn thứ 2 có bổ_sung .
1987	 ban nghiên_cứu lịch_sử đảng . chủ_tịch hổ chí minh : tiểu_sử và sự_nghiệp . in lẩn thứ 2 , có sửa chửa và bổ_sung . 
1987	tự_điển vật_lý anh việt .
1987	diễn biền trong lịch sú .
1987	các dân_tộc tinh gia lai công turn .
1987	khu hệ động_vật không xưcrng sông nước_ngọt bắc việt nam .
1987	 đặng ngọc thanh , thái trân bái , and phạm văn miện . định loại động_vật không xương_sông nước_ngọt bắc việt nam ; đặng ngọc thanh , chủ_biên . 
1987	miển thượng uyên xưa : tập truyện_ngắn .
1987	mẫy vân để cơ bán vể công_tác thanh_niên hiện_nay .
1987	 xuân mai . tinh thơ trong mắt ngọc , của đặng t . xuân mai ( thị xuân mai ) . 
1987	 hà_nội nghìn nãm xây_dựng , 
1987	lược kháo nghệ_thuật kiền trúc ‘ the giới .
1987	tác_phẩm . v . [ 1 ]
1987	truyện kiểu và thể_loại truyện_nôm .
1987	 tự_điển anh việt hiện_đại . modern english vietnamese dictionary . hong kong , lee man pub . 
1987	vích to huy gô .
1987	 chinh_phụ ngâm . nguyên_tác hán vản cùa đặng trần côn ; đoàn thị điểm diễn nôm ; đào đăng vỹ , bùi hữu sủng , hà mai phiromg sao_lục và giới_thiệu . 
1987	 quan_họ : nguồn gôc và quá_trình phát_triển [ biên_tập , hoảng thị đậu ] . 
1987	vỉ tổ quôc : kịch chín cánh .
1987	điểm_cao thành phò : tiểu thuyềt .
1987	tổ_chức vả quán lý sản xuẵt xí_nghiệp công_nghiệp quôc doanh : dùng trong các trường trung_học_chuyên_nghiệp .
1987	buổm trong phô : thcr .
1987	 người cộng sán tré tuổi của đào công vũ . hạt giông của xuân tùng , trần hữu thung . 
1987	những ngưòi sông mãi .
1987	 lịch_trình hành chánh nam phẩn . [ s . l . , s . n . 
1987	tự điận việt nam phổ_thông
1987	đàt nước_hoa chăm pa .
1987	lưu_lạc : tiểu thuyễt .
1987	đập_tan chiền tranh tâm_lý của bọn bành_trướng bắc kinh .
1987	đẵt đẫt chi lăng người_người dũng_sĩ
1987	đêm nay
1987	 điạ lý , lớp nhi 
1987	điện và lời chào_mừng đại_hội lần thứ iv đảng cộng sán việt nam .
1987	vocabulary ; [ compiled ] by điêu chính nhím le jean donaldson .
1987	điểu tra gia_đinh vùng thôn_quê nảm 1971 tại 16 tinh ổ việt nam .
1987	điển cô văn_học .
1987	 đinh gia khánh , bùi duy_tân , and mai cao chương . văn_học việt nam . v . [ 1 ] 
1987	đảo mùa gió .
1987	sóng cứa sông : truyện .
1987	 điạ lý : lớp nhỉ ; hoạ_sĩ , lê vĩnh phát , 
1987	nghệ_thuật biểu_diễn hiện_thực tâm_lý .
1987	noi đây vẫn quê_người .
1987	đỗ chu
1987	non con đường gập biến : tập truyện_ngắn .
1987	đỗ chu
1987	đỗ đức_dục
1987	đỗ đức hiều
1987	 đỗ hổng chung , nguyễn hải_hà , nguyễn trường lịch . lịch_sử văn_học nga . v . 
1987	đỗ hữu du
1987	tự_điển nhật việt anh . japanese vietnamse [ sic ] english dictio nary .
1987	đố nguồn : thi_tập cùa nguyễn quang nhạ ( tô giang tứ ) . in lần thứ 1 .
1987	đỗ như khánh
1987	người tạc tượng : nhạc_kịch ba màn .
1987	đường trên biến mang tên bác .
1987	đỗ quang tiên
1987	đỗ quang tiên
1987	đỗ quang tiên
1987	đỗ tầt lợi
1987	đỗ tầt lợi
1987	các nữ thẩn việt nam : truyện .
1987	hương trà .
1987	đỗ_trọng nguyên
1987	đỗ vĩnh bảo
1987	đẵt đang gieo : truyện và ký .
1987	đỗ xuân hợp
1987	chúng_ta đi_về đâu ; khảo_luận .
1987	đoàn thanh_niên cộng sán hổ chí minh
1987	đại_học và trung_học_chuyên_nghiệp
1987	nỗi đau làm người : thơ .
1987	 độc_lập dân_tộc vả chủ nghiã xã_hội : ngọn cờ bách chiền , bách_thắng của cách_mạng việt nam ; nghiên_cứu vãn kiện đại_hội đáng lần thứ iv . 
1987	độc tầu thơ : sáng_tác và biểu_diễn
1987	đòn bút : tập thơ trào_phúng đánh mỹ
1987	em học điạ lý : lớp ba
1987	 đồng chí_tôn đức thắng : người chiền sĩ cộng_sản kiên_cường , mẫu_mực [ của ] ban nghiên_cứu lịch sứ đáng trung_ương . 
1987	thơ vui như têt .
1987	 một nhà_khoa_học yêu nước ; bia và minh_họa của tín nhượng , nghiêm_trọng cường . 
1987	đường vào khoa_học
1987	đường vào : tập thơ
1987	 gia đỉnh ông bá , lớp tư : phần chl nam 
1987	 gia dinh ông bá , l < ýp tư : phẩn học_sinh 
1987	giai_đoạn mới trong quan_hệ việt nam liên xô
1987	 giái thích một sô từ_ngữ trong báo_cáo chính_trị tại đại_hội lần thứ iv cùa đáng [ cúa ] vụ biên_soạn , ban tuyên huân trung_ương 
1987	truyển thông của dân_tộc mèo đòan kềt đâu tranh báo vệ tổ quòc việt nam . menhx cxux hmongz thoanx chex touy txenhz le yoanx thongr
1987	ybt kiêu : truyện_ký lịch sứ .
1987	hạnh_phúc từ nay : thơ .
1987	người anh_hùng đổng tháp : thơ và trường_ca
1987	 giảng văn , của khoa ngữ_văn đại_học sư_phạm hà_nội ; biên_tập , lương vãn đang , đinh thái hương . v . [ 2 ] 
1987	giát hươn trồ * vẽ : tập truyện và ký
1987	 giới_thiệu tác_phẩm , 1976 77 
1987	giữ_gìn sự trong_sáng cùa tiềng việt vể mặt tử_ngữ
1987	 góp_phần nghiên_cứu : bản_lĩnh , bản_sắc các dân_tộc & viẹt namĩhà nội , khoa_học_xã_hội , 1980 . ds556.45 . 
1987	góp phẩn tìm_hiểu đường lôi kinh tẽ của đảng
1987	gương chiên dẫu của những người cộng sán
1987	người thăng long : tiểu thuyềt lịch_sử .
1987	nguyễn trung_trực ; bìa và minh_họa của tạ thúc bình . in lẩn thứ 2 .
1987	trên sông truyển hịch ; bià và minh_hoạ của phan thông .
1987	địa_lý việt nam .
1987	lược sử tiển tệ việt nam . v . [ 1 ]
1987	hà đinh cẩn
1987	hà đình cấn
1987	 hổ chủ_tịch với một_vài vẫn để văn_hóa , văn_nghệ . in lẩn thứ 2 , có sứa chữa , bố sung . 
1987	tứ_vi áo bí biện_chứng học .
1987	 việt nam thương_mại niên_giám vùng bay area . vietnamese bay area directory . campbell , ca , mai hiên , cl981 . f868 . 
1987	 chủ_tịch hổ chí minh , nhà_thơ lớn của dân_tộc . 
1987	 hà minh tuẫn , vè đẹp bình_dị : tiéu thuyẽt 
1987	scv văn_hóa thông_tin
1987	hể chèo : chọn_lọc . [ in lẩn thứ 2 ] .
1987	mẵy vần để trong kịch_bản chèo .
1987	35năm sân khẳu : ca_kịch cách_mạng .
1987	 dưới ánh_sáng đại_hội iv của đảng : tiểu_luận và phê binh , 
1987	 đường 15i văn_nghệ của đảng : vũ_khí , trí_tuệ , anh sáng . in lẩn thứ 2 , có bổ_sung . 
1987	tièp tục đầu tranh xóa_bỏ tàn_dư “ văn_hóa ” thực_dân moi .
1987	đức_dục và công_dân giáo_dục . in lẩn thứ 1 .
1987	 hợp tuyén thơ_văn : các tác_giả dân_tộc thiểu sô việt nam , 1945 1980 ; nông quôc chằn , vibt lời_tựa . 
1987	hãy tiềp tục cánh giác với bọn cia
1987	đẵt không giâu mặt : tiểu thuyẽt .
1987	thành_thật luận ; dịch giá trí nghiêm .
1987	 hạ vui , hạ buổn của vũ trung_du 
1987	 hạt gạo nghĩa_tình : ký , của nhiểu tác_giả 
1987	hãy nhớ lầy lời tôi : thơ
1987	hình chạm_trổ việt nam : qua các thời_đại
1987	hổ chí minh toàn_tập . v . [ 1 ]
1987	ho chi minh
1987	ho chi minh
1987	ho chi minh
1987	ho chi minh
1987	chièn tranh nhân_dân việt nam .
1987	hổ chí minh tuyển_tập .
1987	ho chi minh
1987	nhật_ký trong tù .
1987	những chặng đường lịch_sử vẻ_vang .
1987	ho chi minh
1987	ds556 . 8 .
1987	pl4378
1987	ho chi minh
1987	vể cách_mạng_xã_hội_chủ_nghĩa và xây_dựng chủ nghiã xã_hội .
1987	vể công_tác hậu cẩn quân_đội .
1987	vê ' đạo_đức cách_mạng .
1987	vê ' giáo_dục thanh_niên .
1987	vẽ lê nin và chủ_nghĩa lê nin .
1987	vể liên_minh công_nông .
1987	ho chi minh
1987	vể vai_trò và nhiệm_vụ của thanh_niên hổ chí minh .
1987	vê ' vân để học_tập . in lẩn thứ 2 .
1987	vê ' xây_dựng đáng . in lần thứ 3 .
1987	vì độc_lập tự_do vi chủ_nghĩa_xã_hội thanh_niên ta hảng hái tiền lên .
1987	hổ chủ_tịch sông mãi trong sự_nghiệp cách_mạng của nhân_dân hà_nội .
1987	hổ chủ_tịch trong lòng nhân_dân thề giới
1987	hổ huyển qui
1987	hổ khải đại
1987	hổ lê
1987	biển gọi : tiếu thuyềt .
1987	hổ phương
1987	hổ phương
1987	hoa_phượng ; bìa và minh_họa .
1987	hóa_học_hữu_cơ : lóp mười_hai phổ_thông
1987	 hóa_thạch đặc_trưng ờ miển bắc việt nam [ của ] tổng_cục địa chẫt , viện điạ chầt và khoáng_sản ; chú biên , dương xuân hảo . 
1987	hoa trăm miển : thơ
1987	ngựa ông đã vể ; bià và minh_họa của trần lương .
1987	trên đẩu sóng .
1987	tỉm hiểu mỹ_học mác — lê nin .
1987	chuyện thơ
1987	phan bội châu : cuộc_đời và thơ vãn .
1987	phê_bình và tiểu_luận . v . [ 3 ]
1987	 những điểu cẩn bièt tại hoa kỳ . gardena , ca , bích sơn n . 
1987	con đường sáng : tiểu thuyềt .
1987	quê chổng : tập truyện .
1987	đi thảm đẫt nước .
1987	rừng dừa xào_xạc : tập truyện_ngắn .
1987	thiên_định theo pháp_lý vô_vi : một báu_vật của thỏi đại .
1987	truyện cố mường .
1987	đương qua mùa hoa đào : tập truyện_ký .
1987	bạn và vợ : tiểu thuyèt ; [ los alamitos .
1987	 bây_giờ tháng mầy . [ los alamitos , catviệt nam . 
1987	định_mệnh đã an_bài ; tiểu thuyềt .
1987	gái trọ : tiểu thuybt .
1987	hổng loan hổng ngọc : tiểu thuybt gián_điệp .
1987	máu đen vàng đò : tiẻu thuybt gián_điệp [ của ] ian fleming ; hoảng hải thủy .
1987	ngọài cửa thiên_đường : tiểu thuybt phóng_tác .
1987	người vợ mằt tích .
1987	như chuyện thần_tiên .
1987	nổ như tạc_đạn .
1987	trong vòng_tay du_đãng : tiẻu thuyêt .
1987	vòng_tay yêu_tinh .
1987	yêu nhau bằng mổm : tiểu thuybt .
1987	tự_điển khơme việt . v . [ 2 ]
1987	 xã_hội , 1977 [ i 
1987	 tim hiểu quồc sách ầp chiền lược , [ s . l . , s . n . 
1987	vũ_điệu trong bóng mờ của r . e . sherwood .
1987	chuyện vể những người bạn : tập truyện_ngắn .
1987	 hoàng lại giang , cứa sava : tiểu thuyêt 
1987	cách_mạng trung quòc và chủ_nghĩa mao .
1987	đánh_bại giặc nguyên : ký_sự lịch_sử
1987	chủ_nghĩa mao không có mao .
1987	anh có vẽ thăm : thơ . in lần thứ 1 .
1987	chiền dịch tây nguyên_đại thẳng .
1987	đẩu sóng : tiểu thuybt .
1987	đổng chiêm : tiểu thuyet .
1987	năm_mươi năm cách_mạng hải_ngoại : hổi ký ; phạm giật đức biên_soạn .
1987	sài gòn vĩnh_biệt : thơ
1987	góp_phần tỉm hiểu nghị quyèt vẽ cải_cách giáo_dục .
1987	học_trò .
1987	mây suy_nghĩ vể nẽn văn_học các dân_tộc thiểu sô ờ viẹt bấc .
1987	 hoàng phê , hoàng văn hành , và đảo thán , sổ_tay dùng từ . 
1987	rẵt nhiểu ánh lứa : truyện và ký .
1987	con đường phiá trước .
1987	truyện_cổ việt bắc .
1987	hán việt tân từ_điển . [ bản thứ 2 ]
1987	tự_điển sản_phụ khoa : đôi chiều pliap việt .
1987	 gió chuyển mùa : kịch . cánh võng trường scm , chèo [ của ] hổng dưo ng . 
1987	từ nhớ đền thưomg : thơ . in lẩn thứ 1 .
1987	vể khoa_học và nghệ_thuật trong phê binh văn_học .
1987	 vãn học , cuộc sông , nhà_văn . 
1987	hổ so * vua duy_tân ; tựa của đào đăng vỹ . in lần thứ nhẫt .
1987	 nhớ phô phường : truyện , 
1987	 cuộc song tho * và tho ' cuộc sồng : tiểu_luận , phê_bình . 
1987	ngọn lửa rực sáng .
1987	hạp tác hóa con đường đưa nông_thôn đen no ẫm và tự_do .
1987	the tiển công của ba dòng thác cách_mạng .
1987	hưomg hoa sừa : tập truyện_ngắn .
1987	tây_nguyên .
1987	nắng_lửa : truyện vửa .
1987	từ_điển táy nùng việt .
1987	hạp tác xã định công_tử sản xuẫt nhồ đi lên .
1987	 để nghị một kề hoạch cách_mạng chông cộng ờ việt nam . [ s . l . , s . n . 
1987	 v . bông hổng đổ : tập truyện , 
1987	hoảng xuân chính và nguyễn ngọc_bích
